date,pm25,pm10,aqi
2024-05-01,16.333333333333332,224.38888888888889,195.72222222222223
2024-05-02,45.714285714285715,219.38095238095238,207.14285714285714
2024-05-03,83.04761904761905,279.4761904761905,254.04761904761904
2024-05-04,157.33333333333334,392.94444444444446,373.55555555555554
2024-05-05,82.26315789473684,271.63157894736844,256.7894736842105
2024-05-06,100.57142857142857,265.85714285714283,247.42857142857142
2024-05-07,0.0,0.0,0.0
2024-05-08,0.0,187.1818181818182,152.72727272727272
2024-05-09,30.933333333333334,140.73333333333332,165.2
2024-05-10,0.0,177.8181818181818,152.0
2024-05-11,33.80952380952381,236.71428571428572,223.42857142857142
2024-05-12,27.75,197.0,183.4
2024-05-13,57.9,238.4,220.5
2024-05-14,15.533333333333333,234.2,200.13333333333333
2024-05-15,70.26666666666667,236.86666666666667,219.33333333333334
2024-05-16,48.526315789473685,258.10526315789474,244.21052631578948
2024-05-17,52.6,247.75,228.85
2024-05-18,98.66666666666667,343.55555555555554,310.8888888888889
2024-05-19,81.82608695652173,368.04347826086956,346.0
2024-05-20,64.35,289.6,256.55
2024-05-21,18.652173913043477,264.7826086956522,226.95652173913044
2024-05-22,0.0,183.52941176470588,153.64705882352942
2024-05-23,9.333333333333334,140.94444444444446,127.0
2024-05-24,2.2857142857142856,138.95238095238096,126.0
2024-05-25,12.631578947368421,197.0,170.57894736842104
2024-05-26,33.27777777777778,252.55555555555554,220.88888888888889
2024-05-27,30.55,268.5,231.55
2024-05-28,42.083333333333336,240.875,216.33333333333334
2024-05-29,27.1,300.1,262.9
2024-05-30,8.75,219.75,187.41666666666666
2024-05-31,12.678571428571429,211.53571428571428,210.53571428571428
