date,Aurbindo Marg_pm25,Aurbindo Marg_pm10,Aurbindo Marg_aqi,Dwarka_pm25,Dwarka_pm10,Dwarka_aqi,Mathura Road_pm25,Mathura Road_pm10,Mathura Road_aqi,Patparganj_pm25,Patparganj_pm10,Patparganj_aqi
01-05-2024,53.45744681,199.1489362,171.893617,76.95833333,280.2083333,244.2916667,16.33333333,224.3888889,195.7222222,36.79166667,228.5833333,188.7083333
02-05-2024,65.05208333,185.1875,172.7708333,88.41666667,277.375,252.0416667,45.71428571,219.3809524,207.1428571,44.78813559,216.6355932,181.2033898
03-05-2024,108.4270833,247.8854167,243.59375,162.5210084,380.9243697,357.1428571,83.04761905,279.4761905,254.047619,84.45762712,296.7542373,258.0508475
04-05-2024,121.5520833,246.1979167,245.3125,180.2916667,492.0833333,494,157.3333333,392.9444444,373.5555556,90.5,323.8333333,284.5666667
05-05-2024,90.09375,215.9895833,207.40625,141.4083333,363.7916667,339.3916667,82.26315789,271.6315789,256.7894737,121.0131579,354.9342105,318.4868421
06-05-2024,80.36458333,212.78125,206.15625,126.9008264,396.9834711,381.2396694,100.5714286,265.8571429,247.4285714,57.13432836,278.6268657,239.2537313
07-05-2024,125.9587629,285.6597938,273.3092784,180.2166667,450.0833333,441.45,0,0,0,123.0555556,434.3148148,410.3240741
08-05-2024,64.91836735,237.0612245,198.9081633,64.625,270.675,221.9666667,0,187.1818182,152.7272727,72.25641026,295.2564103,252.5470085
09-05-2024,50.45833333,174.75,151.4583333,48.58333333,185.6666667,157.125,30.93333333,140.7333333,165.2,50.625,227.25,200
10-05-2024,68.39361702,189.9468085,162.4468085,63.26086957,241.4782609,217.1304348,0,177.8181818,152,58.26890756,300.6134454,286.1260504
11-05-2024,37,236.2835821,218.5820896,49.90756303,311.5714286,287.8487395,33.80952381,236.7142857,223.4285714,59.0776699,264.5436893,241.1553398
12-05-2024,62.02439024,169.1097561,147.195122,72,207.2083333,179.75,27.75,197,183.4,73.79310345,354.137931,321.3793103
13-05-2024,74.18918919,182.972973,177.5405405,81.20833333,254.5833333,232.7916667,57.9,238.4,220.5,74.95833333,257,223.5833333
14-05-2024,77.68852459,199.6557377,189.9180328,142.6060606,329.1818182,319.6868687,15.53333333,234.2,200.1333333,84.86868687,272.7171717,235.1717172
15-05-2024,78.04705882,185.1411765,178.0470588,112.375,294.8083333,268.475,70.26666667,236.8666667,219.3333333,87.08333333,284.6416667,258.8666667
16-05-2024,95.28865979,239.4123711,227.3505155,89.75,265.6666667,227.75,48.52631579,258.1052632,244.2105263,74.29166667,248.75,210.3083333
17-05-2024,61.72826087,182.6195652,163.2826087,82.55462185,332.8991597,309.8319328,52.6,247.75,228.85,74.78151261,268.9663866,238.6218487
18-05-2024,47.81081081,199.5945946,166.3243243,99.08333333,360.7083333,326.125,98.66666667,343.5555556,310.8888889,87.80851064,324.2978723,274.7234043
19-05-2024,75.96907216,233.5051546,206.0618557,109.0416667,333.9166667,299.625,81.82608696,368.0434783,346,72.45833333,273.25,231.8333333
20-05-2024,53.1122449,228.4183673,194.5408163,69.75,319.7083333,286.4583333,64.35,289.6,256.55,70.33333333,281.375,241
21-05-2024,75.46478873,278.5633803,247.7605634,63.41666667,277.5,232.2083333,18.65217391,264.7826087,226.9565217,71.49565217,296.3217391,255.026087
22-05-2024,56.075,237.45,197.65,65.84166667,223.5583333,182.4416667,0,183.5294118,153.6470588,55.78151261,227.8403361,189.1008403
23-05-2024,44.57575758,155.8030303,137.0454545,45.45833333,161,140.125,9.333333333,140.9444444,127,42.08333333,188.0833333,163.1666667
24-05-2024,45.29787234,142.0851064,128.1170213,48.125,159,139.3333333,2.285714286,138.952381,126,36.875,161.5416667,145.0166667
25-05-2024,57.07526882,178.6774194,159.7849462,60.08333333,219.0416667,181.125,12.63157895,197,170.5789474,44.75,199.125,173.4083333
26-05-2024,49.91919192,170.5252525,161.5353535,79.875,289.7916667,266.875,33.27777778,252.5555556,220.8888889,53.20833333,248.5416667,234.0083333
27-05-2024,70.42268041,218.8247423,188.0309278,78.79166667,311.4166667,283.4583333,30.55,268.5,231.55,65.5,283.9583333,250.8666667
28-05-2024,62.58333333,195.7916667,191.1354167,71.79166667,300.125,268.5,42.08333333,240.875,216.3333333,65.83333333,285.2083333,254.8666667
29-05-2024,53.95555556,269.5777778,235.8,50.99173554,300.2066116,262.3140496,27.1,300.1,262.9,61.14166667,290.5833333,246.5416667
30-05-2024,38.5326087,218.2934783,183.923913,43.125,267.375,229.25,8.75,219.75,187.4166667,51.61363636,278.0227273,235
31-05-2024,40.53947368,192.3157895,165.4210526,56.01694915,292.4491525,275.9152542,12.67857143,211.5357143,210.5357143,23,154,136
