Date,mean_pm10,mean_pm25,mean_aqi
01-05-2024,95.859375,36.38715277722222,93.09027777777777
02-05-2024,117.0746527777778,49.717013889444445,116.67187499444445
03-05-2024,190.2638888944444,83.553819445,186.71527778333333
04-05-2024,282.3993055555556,109.44965277222222,249.54340277777774
05-05-2024,236.8263888944444,87.8461538517094,207.39209402264956
06-05-2024,216.6597222277777,76.56423611055556,188.6163194388889
07-05-2024,279.36706349761903,110.80877976190476,246.61755952936505
08-05-2024,219.2152777777777,72.43229166611111,183.17013889444442
09-05-2024,173.03472221666664,58.66319444388889,150.1875
10-05-2024,229.59548610555555,75.803819445,191.28298610555555
11-05-2024,152.19270832777775,55.93055555555555,136.6527777722222
12-05-2024,218.046875,75.14930555500001,186.8697916722222
13-05-2024,243.2083333333333,81.31249999944444,205.48958332777775
14-05-2024,252.41145832777767,82.94791666611111,215.44965278333333
15-05-2024,272.67881943888887,87.53993055555554,229.77951389444442
16-05-2024,274.8144755691571,84.27370689655173,229.61685823199232
17-05-2024,241.0468750055556,76.65798611055556,203.8975694388889
18-05-2024,248.01331019074075,78.49363425870371,209.42476851296294
19-05-2024,195.94685806788613,66.56508299457994,170.92098576680215
20-05-2024,181.50520833888888,59.98263888944444,157.81076388888889
21-05-2024,221.39756945,70.53124999944444,185.59895833888882
22-05-2024,244.1927083333333,77.54687500000001,204.05729166666666
23-05-2024,190.046875,61.66145833277778,161.92013888333335
24-05-2024,190.67013889444445,61.95659722277778,162.06249999444444
25-05-2024,215.1927083333333,69.14236111055557,183.1788194388889
26-05-2024,177.27256945,60.71006944444444,156.11631944444443
27-05-2024,213.68055555,69.04861111166666,181.99652778333333
28-05-2024,204.53298610555552,73.17187499944444,178.56770832777775
29-05-2024,134.44836676399177,64.75630144032921,126.99434156378601
30-05-2024,110.39236111666666,53.94965277777777,104.7673611111111
31-05-2024,145.18402777777777,64.08333333388889,136.00000000555556
